tic;date;year;month;cusip;prc;shrout;ret;retx;n
AAPL;2005-01-31;2005;1;3783310;76.9;408586;0.194099;0.194099;120
AAPL;2005-02-28;2005;2;3783310;44.86;817172;0.166710;0.166710;120
AAPL;2005-03-31;2005;3;3783310;41.67;823137;-0.071110;-0.071110;120
AAPL;2005-04-29;2005;4;3783310;36.06;823934;-0.134629;-0.134629;120
AAPL;2005-05-31;2005;5;3783310;39.7593;823934;0.102587;0.102587;120
AAPL;2005-06-30;2005;6;3783310;36.81;827981;-0.074179;-0.074179;120
AAPL;2005-07-29;2005;7;3783310;42.65;829829;0.158653;0.158653;120
AAPL;2005-08-31;2005;8;3783310;46.89;829829;0.099414;0.099414;120
AAPL;2005-09-30;2005;9;3783310;53.61;835019;0.143314;0.143314;120
AAPL;2005-10-31;2005;10;3783310;57.59;839777;0.074240;0.074240;120
AAPL;2005-11-30;2005;11;3783310;67.82;842768;0.177635;0.177635;120
AAPL;2005-12-30;2005;12;3783310;71.89;845617;0.060012;0.060012;120
AAPL;2006-01-31;2006;1;3783310;75.51;848612;0.050355;0.050355;120
AAPL;2006-02-28;2006;2;3783310;68.49;849656;-0.092968;-0.092968;120
AAPL;2006-03-31;2006;3;3783310;62.72;849188;-0.084246;-0.084246;120
AAPL;2006-04-28;2006;4;3783310;70.39;850508;0.122290;0.122290;120
AAPL;2006-05-31;2006;5;3783310;59.77;850508;-0.150874;-0.150874;120
AAPL;2006-06-30;2006;6;3783310;57.27;852988;-0.041827;-0.041827;120
AAPL;2006-07-31;2006;7;3783310;67.96;852988;0.186660;0.186660;120
AAPL;2006-08-31;2006;8;3783310;67.85;852988;-0.001619;-0.001619;120
AAPL;2006-09-29;2006;9;3783310;76.98;855263;0.134562;0.134562;120
AAPL;2006-10-31;2006;10;3783310;81.08;855263;0.053261;0.053261;120
AAPL;2006-11-30;2006;11;3783310;91.66;859202;0.130488;0.130488;120
AAPL;2006-12-29;2006;12;3783310;84.84;860220;-0.074405;-0.074405;120
AAPL;2007-01-31;2007;1;3783310;85.73;861875;0.010490;0.010490;120
AAPL;2007-02-28;2007;2;3783310;84.61;861875;-0.013064;-0.013064;120
AAPL;2007-03-30;2007;3;3783310;92.91;864693;0.098097;0.098097;120
AAPL;2007-04-30;2007;4;3783310;99.8;864948;0.074158;0.074158;120
AAPL;2007-05-31;2007;5;3783310;121.191;864948;0.214339;0.214339;120
AAPL;2007-06-29;2007;6;3783310;122.04;869162;0.007005;0.007005;120
AAPL;2007-07-31;2007;7;3783310;131.75999;869641;0.079646;0.079646;120
AAPL;2007-08-31;2007;8;3783310;138.48;869641;0.051002;0.051002;120
AAPL;2007-09-28;2007;9;3783310;153.47;869641;0.108247;0.108247;120
AAPL;2007-10-31;2007;10;3783310;189.95;869641;0.237701;0.237701;120
AAPL;2007-11-30;2007;11;3783310;182.22;875540;-0.040695;-0.040695;120
AAPL;2007-12-31;2007;12;3783310;198.08;878629;0.087038;0.087038;120
AAPL;2008-01-31;2008;1;3783310;135.36;878876;-0.316640;-0.316640;120
AAPL;2008-02-29;2008;2;3783310;125.02;878876;-0.076389;-0.076389;120
AAPL;2008-03-31;2008;3;3783310;143.5;881431;0.147816;0.147816;120
AAPL;2008-04-30;2008;4;3783310;173.95;881623;0.212195;0.212195;120
AAPL;2008-05-30;2008;5;3783310;188.75;881623;0.085082;0.085082;120
AAPL;2008-06-30;2008;6;3783310;167.44;885747;-0.112901;-0.112901;120
AAPL;2008-07-31;2008;7;3783310;158.95;885876;-0.050705;-0.050705;120
AAPL;2008-08-29;2008;8;3783310;169.53;885876;0.066562;0.066562;120
AAPL;2008-09-30;2008;9;3783310;113.66;888326;-0.329558;-0.329558;120
AAPL;2008-10-31;2008;10;3783310;107.59;888935;-0.053405;-0.053405;120
AAPL;2008-11-28;2008;11;3783310;92.67;888935;-0.138675;-0.138675;120
AAPL;2008-12-31;2008;12;3783310;85.35;890415;-0.078990;-0.078990;120
AAPL;2009-01-30;2009;1;3783310;90.13;890554;0.056005;0.056005;120
AAPL;2009-02-27;2009;2;3783310;89.31;890554;-0.009098;-0.009098;120
AAPL;2009-03-31;2009;3;3783310;105.12;892110;0.177024;0.177024;120
AAPL;2009-04-30;2009;4;3783310;125.83;892110;0.197013;0.197013;120
AAPL;2009-05-29;2009;5;3783310;135.81;892110;0.079313;0.079313;120
AAPL;2009-06-30;2009;6;3783310;142.42999;895735;0.048745;0.048745;120
AAPL;2009-07-31;2009;7;3783310;163.39;895817;0.147160;0.147160;120
AAPL;2009-08-31;2009;8;3783310;168.21001;895817;0.029500;0.029500;120
AAPL;2009-09-30;2009;9;3783310;185.35001;899806;0.101896;0.101896;120
AAPL;2009-10-30;2009;10;3783310;188.5;900678;0.016995;0.016995;120
AAPL;2009-11-30;2009;11;3783310;199.91;900678;0.060531;0.060531;120
AAPL;2009-12-31;2009;12;3783310;210.73199;906282;0.054134;0.054134;120
AAPL;2010-01-29;2010;1;3783310;192.063;906795;-0.088591;-0.088591;120
AAPL;2010-02-26;2010;2;3783310;204.62;906795;0.065380;0.065380;120
AAPL;2010-03-31;2010;3;3783310;235;909636;0.148470;0.148470;120
AAPL;2010-04-30;2010;4;3783310;261.09;909938;0.111021;0.111021;120
AAPL;2010-05-28;2010;5;3783310;256.88;909938;-0.016125;-0.016125;120
AAPL;2010-06-30;2010;6;3783310;251.53;913482;-0.020827;-0.020827;120
AAPL;2010-07-30;2010;7;3783310;257.25;913563;0.022741;0.022741;120
AAPL;2010-08-31;2010;8;3783310;243.10001;913563;-0.055005;-0.055005;120
AAPL;2010-09-30;2010;9;3783310;283.75;915970;0.167215;0.167215;120
AAPL;2010-10-29;2010;10;3783310;300.98001;917307;0.060723;0.060723;120
AAPL;2010-11-30;2010;11;3783310;311.14999;917307;0.033790;0.033790;120
AAPL;2010-12-31;2010;12;3783310;322.56;921035;0.036670;0.036670;120
AAPL;2011-01-31;2011;1;3783310;339.32001;921278;0.051959;0.051959;120
AAPL;2011-02-28;2011;2;3783310;353.20999;921278;0.040935;0.040935;120
AAPL;2011-03-31;2011;3;3783310;348.50751;924674;-0.013314;-0.013314;120
AAPL;2011-04-29;2011;4;3783310;350.13;924755;0.004656;0.004656;120
AAPL;2011-05-31;2011;5;3783310;347.82999;924755;-0.006569;-0.006569;120
AAPL;2011-06-30;2011;6;3783310;335.67001;926904;-0.034960;-0.034960;120
AAPL;2011-07-29;2011;7;3783310;390.48001;927091;0.163285;0.163285;120
AAPL;2011-08-31;2011;8;3783310;384.82999;927091;-0.014469;-0.014469;120
AAPL;2011-09-30;2011;9;3783310;381.32001;929277;-0.009121;-0.009121;120
AAPL;2011-10-31;2011;10;3783310;404.78;929409;0.061523;0.061523;120
AAPL;2011-11-30;2011;11;3783310;382.20001;929409;-0.055783;-0.055783;120
AAPL;2011-12-30;2011;12;3783310;405;932214;0.059655;0.059655;120
AAPL;2012-01-31;2012;1;3783310;456.48001;932370;0.127111;0.127111;120
AAPL;2012-02-29;2012;2;3783310;542.44;932370;0.188311;0.188311;120
AAPL;2012-03-30;2012;3;3783310;599.54999;934982;0.105284;0.105284;120
AAPL;2012-04-30;2012;4;3783310;583.97998;935062;-0.025969;-0.025969;120
AAPL;2012-05-31;2012;5;3783310;577.72998;935062;-0.010702;-0.010702;120
AAPL;2012-06-29;2012;6;3783310;584;937266;0.010853;0.010853;120
AAPL;2012-07-31;2012;7;3783310;610.76001;937406;0.045822;0.045822;120
AAPL;2012-08-31;2012;8;3783310;665.23999;937406;0.093539;0.089200;120
AAPL;2012-09-28;2012;9;3783310;667.10498;939208;0.002803;0.002803;120
AAPL;2012-10-31;2012;10;3783310;595.32001;940692;-0.107607;-0.107607;120
AAPL;2012-11-30;2012;11;3783310;585.28003;940692;-0.012413;-0.016865;120
AAPL;2012-12-31;2012;12;3783310;532.17291;938973;-0.090738;-0.090738;120
AAPL;2013-01-31;2013;1;3783310;455.48999;939058;-0.144094;-0.144094;120
AAPL;2013-02-28;2013;2;3783310;441.39999;939058;-0.025116;-0.030934;120
AAPL;2013-03-28;2013;3;3783310;442.66;940094;0.002855;0.002855;120
AAPL;2013-04-30;2013;4;3783310;442.78;938649;0.000271;0.000271;120
AAPL;2013-05-31;2013;5;3783310;449.73499;938649;0.022596;0.015708;120
AAPL;2013-06-28;2013;6;3783310;396.53;908442;-0.118303;-0.118303;120
AAPL;2013-07-31;2013;7;3783310;452.53;908497;0.141225;0.141225;120
AAPL;2013-08-30;2013;8;3783310;487.216;908497;0.083389;0.076649;120
AAPL;2013-09-30;2013;9;3783310;476.75;899213;-0.021481;-0.021481;120
AAPL;2013-10-31;2013;10;3783310;522.70203;899738;0.096386;0.096386;120
AAPL;2013-11-29;2013;11;3783310;556.07001;899738;0.069673;0.063837;120
AAPL;2013-12-31;2013;12;3783310;561.02002;892447;0.008902;0.008902;120
AAPL;2014-01-31;2014;1;3783310;500.60001;891989;-0.107697;-0.107697;120
AAPL;2014-02-28;2014;2;3783310;526.23999;891989;0.057311;0.051219;120
AAPL;2014-03-31;2014;3;3783310;536.73999;861745;0.019953;0.019953;120
AAPL;2014-04-30;2014;4;3783310;590.09003;861381;0.099396;0.099396;120
AAPL;2014-05-30;2014;5;3783310;633;861381;0.078293;0.072718;120
AAPL;2014-06-30;2014;6;3783310;92.93;5989171;0.027662;0.027662;120
AAPL;2014-07-31;2014;7;3783310;95.6;5987867;0.028731;0.028731;120
AAPL;2014-08-29;2014;8;3783310;102.5;5987867;0.077092;0.072176;120
AAPL;2014-09-30;2014;9;3783310;100.75;5866161;-0.017073;-0.017073;120
AAPL;2014-10-31;2014;10;3783310;108;5864840;0.071960;0.071960;120
AAPL;2014-11-28;2014;11;3783310;118.93;5864840;0.105556;0.101204;120
AAPL;2014-12-31;2014;12;3783310;110.38;5826419;-0.071891;-0.071891;120
BA;2005-01-31;2005;1;9702310;50.6;839597;-0.022600;-0.022600;120
BA;2005-02-28;2005;2;9702310;54.97;832425;0.091304;0.086364;120
BA;2005-03-31;2005;3;9702310;58.46;832425;0.063489;0.063489;120
BA;2005-04-29;2005;4;9702310;59.52;826326;0.018132;0.018132;120
BA;2005-05-31;2005;5;9702310;63.9;826326;0.077789;0.073589;120
BA;2005-06-30;2005;6;9702310;66;826326;0.032864;0.032864;120
BA;2005-07-29;2005;7;9702310;66.01;820601;0.000152;0.000152;120
BA;2005-08-31;2005;8;9702310;67.02;820601;0.019088;0.015301;120
BA;2005-09-30;2005;9;9702310;67.95;820601;0.013876;0.013876;120
BA;2005-10-31;2005;10;9702310;64.64;807265;-0.048712;-0.048712;120
BA;2005-11-30;2005;11;9702310;68.19;807265;0.058787;0.054920;120
BA;2005-12-30;2005;12;9702310;70.24;807265;0.030063;0.030063;120
BA;2006-01-31;2006;1;9702310;68.31;807265;-0.027477;-0.027477;120
BA;2006-02-28;2006;2;9702310;72.69;800387;0.068511;0.064120;120
BA;2006-03-31;2006;3;9702310;77.93;800958;0.072087;0.072087;120
BA;2006-04-28;2006;4;9702310;83.45;799579;0.070833;0.070833;120
BA;2006-05-31;2006;5;9702310;83.25;799579;0.001198;-0.002397;120
BA;2006-06-30;2006;6;9702310;81.91;799579;-0.016096;-0.016096;120
BA;2006-07-31;2006;7;9702310;77.42;794909;-0.054816;-0.054816;120
BA;2006-08-31;2006;8;9702310;74.9;794909;-0.028675;-0.032550;120
BA;2006-09-29;2006;9;9702310;78.85;794909;0.052737;0.052737;120
BA;2006-10-31;2006;10;9702310;79.86;790739;0.012809;0.012809;120
BA;2006-11-30;2006;11;9702310;88.53;790739;0.112322;0.108565;120
BA;2006-12-29;2006;12;9702310;88.84;790739;0.003502;0.003502;120
BA;2007-01-31;2007;1;9702310;89.56;790739;0.008104;0.008104;120
BA;2007-02-28;2007;2;9702310;87.26;789265;-0.021773;-0.025681;120
BA;2007-03-30;2007;3;9702310;88.91;789112;0.018909;0.018909;120
BA;2007-04-30;2007;4;9702310;93;787401;0.046002;0.046002;120
BA;2007-05-31;2007;5;9702310;100.59;787401;0.085376;0.081613;120
BA;2007-06-29;2007;6;9702310;96.16;787401;-0.044040;-0.044040;120
BA;2007-07-31;2007;7;9702310;103.43;783712;0.075603;0.075603;120
BA;2007-08-31;2007;8;9702310;96.7;783712;-0.061684;-0.065068;120
BA;2007-09-28;2007;9;9702310;104.99;783712;0.085729;0.085729;120
BA;2007-10-31;2007;10;9702310;98.59;775063;-0.060958;-0.060958;120
BA;2007-11-30;2007;11;9702310;92.54;775063;-0.057815;-0.061365;120
BA;2007-12-31;2007;12;9702310;87.46;775063;-0.054895;-0.054895;120
BA;2008-01-31;2008;1;9702310;83.18;775063;-0.048937;-0.048937;120
BA;2008-02-29;2008;2;9702310;82.79;764833;0.000120;-0.004689;120
BA;2008-03-31;2008;3;9702310;74.37;764833;-0.101703;-0.101703;120
BA;2008-04-30;2008;4;9702310;84.86;751453;0.141051;0.141051;120
BA;2008-05-30;2008;5;9702310;82.77;751453;-0.019915;-0.024629;120
BA;2008-06-30;2008;6;9702310;65.72;751453;-0.205992;-0.205992;120
BA;2008-07-31;2008;7;9702310;61.11;710245;-0.070146;-0.070146;120
BA;2008-08-29;2008;8;9702310;65.56;710245;0.079365;0.072819;120
BA;2008-09-30;2008;9;9702310;57.35;710245;-0.125229;-0.125229;120
BA;2008-10-31;2008;10;9702310;52.42;704834;-0.085963;-0.085963;120
BA;2008-11-28;2008;11;9702310;42.63;704834;-0.179130;-0.186761;120
BA;2008-12-31;2008;12;9702310;42.67;704834;0.000938;0.000938;120
BA;2009-01-30;2009;1;9702310;42.31;704834;-0.008437;-0.008437;120
BA;2009-02-27;2009;2;9702310;31.44;698128;-0.246987;-0.256913;120
BA;2009-03-31;2009;3;9702310;35.58;699793;0.131679;0.131679;120
BA;2009-04-30;2009;4;9702310;40.05;697198;0.125632;0.125632;120
BA;2009-05-29;2009;5;9702310;44.85;726198;0.130337;0.119850;120
BA;2009-06-30;2009;6;9702310;42.5;726198;-0.052397;-0.052397;120
BA;2009-07-31;2009;7;9702310;42.91;726432;0.009647;0.009647;120
BA;2009-08-31;2009;8;9702310;49.67;726432;0.167327;0.157539;120
BA;2009-09-30;2009;9;9702310;54.15;726432;0.090195;0.090195;120
BA;2009-10-30;2009;10;9702310;47.8;726599;-0.117267;-0.117267;120
BA;2009-11-30;2009;11;9702310;52.41;726599;0.105230;0.096444;120
BA;2009-12-31;2009;12;9702310;54.13;726599;0.032818;0.032818;120
BA;2010-01-29;2010;1;9702310;60.6;726599;0.119527;0.119527;120
BA;2010-02-26;2010;2;9702310;63.16;756976;0.049175;0.042244;120
BA;2010-03-31;2010;3;9702310;72.61;756976;0.149620;0.149620;120
BA;2010-04-30;2010;4;9702310;72.43;759037;-0.002479;-0.002479;120
BA;2010-05-28;2010;5;9702310;64.18;759037;-0.108104;-0.113903;120
BA;2010-06-30;2010;6;9702310;62.75;759037;-0.022281;-0.022281;120
BA;2010-07-30;2010;7;9702310;68.14;731681;0.085896;0.085896;120
BA;2010-08-31;2010;8;9702310;61.13;731681;-0.096713;-0.102876;120
BA;2010-09-30;2010;9;9702310;66.54;731681;0.088500;0.088500;120
BA;2010-10-29;2010;10;9702310;70.64;733580;0.061617;0.061617;120
BA;2010-11-30;2010;11;9702310;63.77;733580;-0.091308;-0.097254;120
BA;2010-12-31;2010;12;9702310;65.26;733580;0.023365;0.023365;120
BA;2011-01-31;2011;1;9702310;69.48;733580;0.064664;0.064664;120
BA;2011-02-28;2011;2;9702310;72.01;736296;0.042458;0.036413;120
BA;2011-03-31;2011;3;9702310;73.93;737072;0.026663;0.026663;120
BA;2011-04-29;2011;4;9702310;79.78;738275;0.079129;0.079129;120
BA;2011-05-31;2011;5;9702310;78.03;738275;-0.016671;-0.021935;120
BA;2011-06-30;2011;6;9702310;73.93;738275;-0.052544;-0.052544;120
BA;2011-07-29;2011;7;9702310;70.47;741092;-0.046801;-0.046801;120
BA;2011-08-31;2011;8;9702310;66.86;741092;-0.045267;-0.051227;120
BA;2011-09-30;2011;9;9702310;60.51;741092;-0.094975;-0.094975;120
BA;2011-10-31;2011;10;9702310;65.79;743234;0.087258;0.087258;120
BA;2011-11-30;2011;11;9702310;68.69;743234;0.050464;0.044080;120
BA;2011-12-30;2011;12;9702310;73.35;743234;0.067841;0.067841;120
BA;2012-01-31;2012;1;9702310;74.18;743234;0.011316;0.011316;120
BA;2012-02-29;2012;2;9702310;74.95;745721;0.016312;0.010380;120
BA;2012-03-30;2012;3;9702310;74.37;747834;-0.007738;-0.007738;120
BA;2012-04-30;2012;4;9702310;76.8;749049;0.032674;0.032674;120
BA;2012-05-31;2012;5;9702310;69.61;749049;-0.087891;-0.093620;120
BA;2012-06-29;2012;6;9702310;74.3;749049;0.067375;0.067375;120
BA;2012-07-31;2012;7;9702310;73.91;751798;-0.005249;-0.005249;120
BA;2012-08-31;2012;8;9702310;71.4;751798;-0.028007;-0.033960;120
BA;2012-09-28;2012;9;9702310;69.595;751798;-0.025280;-0.025280;120
BA;2012-10-31;2012;10;9702310;70.44;754077;0.012142;0.012142;120
BA;2012-11-30;2012;11;9702310;74.28;754077;0.060761;0.054514;120
BA;2012-12-31;2012;12;9702310;75.36;754077;0.014540;0.014540;120
BA;2013-01-31;2013;1;9702310;73.87;754077;-0.019772;-0.019772;120
BA;2013-02-28;2013;2;9702310;76.9;756166;0.047584;0.041018;120
BA;2013-03-28;2013;3;9702310;85.85;757310;0.116385;0.116385;120
BA;2013-04-30;2013;4;9702310;91.41;758681;0.064764;0.064764;120
BA;2013-05-31;2013;5;9702310;99.02;758681;0.088557;0.083251;120
BA;2013-06-28;2013;6;9702310;102.44;758681;0.034539;0.034539;120
BA;2013-07-31;2013;7;9702310;105.1;754444;0.025966;0.025966;120
BA;2013-08-30;2013;8;9702310;103.92;754444;-0.006613;-0.011227;120
BA;2013-09-30;2013;9;9702310;117.5;754444;0.130677;0.130677;120
BA;2013-10-31;2013;10;9702310;130.5;751453;0.110638;0.110638;120
BA;2013-11-29;2013;11;9702310;134.25;751453;0.032452;0.028736;120
BA;2013-12-31;2013;12;9702310;136.49001;751453;0.016685;0.016685;120
BA;2014-01-31;2014;1;9702310;125.26;751453;-0.082277;-0.082277;120
BA;2014-02-28;2014;2;9702310;128.92;743405;0.035047;0.029219;120
BA;2014-03-31;2014;3;9702310;125.49;737077;-0.026606;-0.026606;120
BA;2014-04-30;2014;4;9702310;129.02;729225;0.028130;0.028130;120
BA;2014-05-30;2014;5;9702310;135.25;729225;0.053945;0.048287;120
BA;2014-06-30;2014;6;9702310;127.23;729225;-0.059298;-0.059298;120
BA;2014-07-31;2014;7;9702310;120.48;720613;-0.053054;-0.053054;120
BA;2014-08-29;2014;8;9702310;126.8;720613;0.058516;0.052457;120
BA;2014-09-30;2014;9;9702310;127.38;720613;0.004574;0.004574;120
BA;2014-10-31;2014;10;9702310;124.91;712930;-0.019391;-0.019391;120
BA;2014-11-28;2014;11;9702310;134.36;712930;0.081499;0.075654;120
BA;2014-12-31;2014;12;9702310;129.98;712930;-0.032599;-0.032599;120
CAT;2005-01-31;2005;1;14912310;89.1;341236;-0.082043;-0.086248;120
CAT;2005-02-28;2005;2;14912310;95.05;342937;0.066779;0.066779;120
CAT;2005-03-31;2005;3;14912310;91.44;342937;-0.037980;-0.037980;120
CAT;2005-04-29;2005;4;14912310;88.05;342937;-0.032590;-0.037073;120
CAT;2005-05-31;2005;5;14912310;94.11;341695;0.068824;0.068824;120
CAT;2005-06-30;2005;6;14912310;95.31;341695;0.012751;0.012751;120
CAT;2005-07-29;2005;7;14912310;53.91;683390;0.136502;0.131256;120
CAT;2005-08-31;2005;8;14912310;55.49;676777;0.029308;0.029308;120
CAT;2005-09-30;2005;9;14912310;58.75;676777;0.058749;0.058749;120
CAT;2005-10-31;2005;10;14912310;52.59;676777;-0.100596;-0.104851;120
CAT;2005-11-30;2005;11;14912310;57.78;680208;0.098688;0.098688;120
CAT;2005-12-30;2005;12;14912310;57.77;680208;-0.000173;-0.000173;120
CAT;2006-01-31;2006;1;14912310;67.9;680208;0.179678;0.175351;120
CAT;2006-02-28;2006;2;14912310;73.08;670867;0.076289;0.076289;120
CAT;2006-03-31;2006;3;14912310;71.81;670867;-0.017378;-0.017378;120
CAT;2006-04-28;2006;4;14912310;75.74;666000;0.058209;0.054728;120
CAT;2006-05-31;2006;5;14912310;72.95;666000;-0.036837;-0.036837;120
CAT;2006-06-30;2006;6;14912310;74.48;666000;0.020973;0.020973;120
CAT;2006-07-31;2006;7;14912310;70.87;666000;-0.044441;-0.048469;120
CAT;2006-08-31;2006;8;14912310;66.35;655748;-0.063779;-0.063779;120
CAT;2006-09-29;2006;9;14912310;65.8;655748;-0.008289;-0.008289;120
CAT;2006-10-31;2006;10;14912310;60.71;655748;-0.072796;-0.077356;120
CAT;2006-11-30;2006;11;14912310;62.03;650534;0.021743;0.021743;120
CAT;2006-12-29;2006;12;14912310;61.33;650534;-0.011285;-0.011285;120
CAT;2007-01-31;2007;1;14912310;64.07;650534;0.049568;0.044676;120
CAT;2007-02-28;2007;2;14912310;64.43;645808;0.005619;0.005619;120
CAT;2007-03-30;2007;3;14912310;67.03;645808;0.040354;0.040354;120
CAT;2007-04-30;2007;4;14912310;72.62;645808;0.087871;0.083396;120
CAT;2007-05-31;2007;5;14912310;78.58;640396;0.082071;0.082071;120
CAT;2007-06-29;2007;6;14912310;78.3;640396;-0.003563;-0.003563;120
CAT;2007-07-31;2007;7;14912310;78.8;640396;0.010983;0.006386;120
CAT;2007-08-31;2007;8;14912310;75.77;639155;-0.038452;-0.038452;120
CAT;2007-09-28;2007;9;14912310;78.43;639155;0.035106;0.035106;120
CAT;2007-10-31;2007;10;14912310;74.61;639155;-0.044116;-0.048706;120
CAT;2007-11-30;2007;11;14912310;71.9;635960;-0.036322;-0.036322;120
CAT;2007-12-31;2007;12;14912310;72.56;635960;0.009179;0.009179;120
CAT;2008-01-31;2008;1;14912310;70.99;635960;-0.016676;-0.021637;120
CAT;2008-02-29;2008;2;14912310;72.33;623986;0.018876;0.018876;120
CAT;2008-03-31;2008;3;14912310;78.29;623986;0.082400;0.082400;120
CAT;2008-04-30;2008;4;14912310;81.88;615133;0.050453;0.045855;120
CAT;2008-05-30;2008;5;14912310;82.64;615133;0.009282;0.009282;120
CAT;2008-06-30;2008;6;14912310;73.82;615133;-0.106728;-0.106728;120
CAT;2008-07-31;2008;7;14912310;69.52;608700;-0.052560;-0.058250;120
CAT;2008-08-29;2008;8;14912310;70.73;608716;0.017405;0.017405;120
CAT;2008-09-30;2008;9;14912310;59.6;608716;-0.157359;-0.157359;120
CAT;2008-10-31;2008;10;14912310;38.2;603234;-0.352013;-0.359060;120
CAT;2008-11-28;2008;11;14912310;40.99;603234;0.073037;0.073037;120
CAT;2008-12-31;2008;12;14912310;44.67;603234;0.089778;0.089778;120
CAT;2009-01-30;2009;1;14912310;30.85;603234;-0.299978;-0.309380;120
CAT;2009-02-27;2009;2;14912310;24.61;601527;-0.202269;-0.202269;120
CAT;2009-03-31;2009;3;14912310;27.96;601527;0.136123;0.136123;120
CAT;2009-04-30;2009;4;14912310;35.58;601752;0.287554;0.272532;120
CAT;2009-05-29;2009;5;14912310;35.46;601752;-0.003373;-0.003373;120
CAT;2009-06-30;2009;6;14912310;33.04;601752;-0.068246;-0.068246;120
CAT;2009-07-31;2009;7;14912310;44.06;621294;0.346247;0.333535;120
CAT;2009-08-31;2009;8;14912310;45.31;621294;0.028370;0.028370;120
CAT;2009-09-30;2009;9;14912310;51.33;621294;0.132863;0.132863;120
CAT;2009-10-30;2009;10;14912310;55.06;623000;0.080849;0.072667;120
CAT;2009-11-30;2009;11;14912310;58.39;622728;0.060479;0.060479;120
CAT;2009-12-31;2009;12;14912310;56.99;622728;-0.023977;-0.023977;120
